\fixlen = T
|set|HJD             |Relative_Flux|
|int|double          |double       |
 0   2454280.80346800 0.99988011    
 0   2454280.80378590 0.99954500    
 0   2454280.80410330 0.99992109    
 0   2454280.80442170 0.99901674    
 0   2454280.80473620 1.0004654     
 0   2454280.80505360 0.99911806    
 0   2454280.80537170 1.0000658     
 0   2454280.80568970 0.99991562    
 0   2454280.80600730 0.99982933    
 0   2454280.80632180 1.0002542     
 0   2454280.80663940 1.0001278     
 0   2454280.80695720 1.0001254     
 0   2454280.80727580 0.99970484    
 0   2454280.80759040 1.0003638     
 0   2454280.80790750 0.99937699    
 0   2454280.80822490 0.99975071    
 0   2454280.80854310 0.99905831    
 0   2454280.80886200 1.0012348     
 0   2454280.80917590 1.0000596     
 0   2454280.80949310 1.0000053     
 0   2454280.80981060 1.0008639     
 0   2454280.81012840 1.0004890     
 0   2454280.81044690 0.99967239    
 0   2454280.81076470 0.99983985    
 0   2454280.81107880 1.0001679     
 0   2454280.81139590 0.99931437    
 0   2454280.81171350 1.0002664     
 0   2454280.81203160 0.99986812    
 0   2454280.81234940 1.0006104     
 0   2454280.81266750 1.0002642     
 0   2454280.81298160 0.99909286    
 0   2454280.81329890 1.0003387     
 0   2454280.81361690 1.0001631     
 0   2454280.81393430 0.99990490    
 0   2454280.81425380 0.99929332    
 0   2454280.81456730 0.99892898    
 0   2454280.81488520 1.0007507     
 0   2454280.81520320 0.99984136    
 0   2454280.81552110 1.0012911     
 0   2454280.81583570 0.99945256    
 0   2454280.81615370 1.0007317     
 0   2454280.81647110 1.0008197     
 0   2454280.81678960 1.0003811     
 0   2454280.81710430 0.99942931    
 0   2454280.81742140 1.0001929     
 0   2454280.81773870 0.99931960    
 0   2454280.81805650 0.99969043    
 0   2454280.81837480 0.99930639    
 0   2454280.81869220 0.99961642    
 0   2454280.81900700 1.0003104     
 0   2454280.81932430 0.99987117    
 0   2454280.81964210 1.0000449     
 0   2454280.81995970 1.0000803     
 0   2454280.82027750 0.99932668    
 0   2454280.82059540 1.0002612     
 0   2454280.82090970 1.0007360     
 0   2454280.82122780 0.99948254    
 0   2454280.82154560 0.99967124    
