\fixlen = T
|set|BJD          |Normalized_Flux|
|int|double       |double         |
 0   2453931.03774 .999972         
 0   2453931.03843 1.000054        
 0   2453931.03913 .999984         
 0   2453931.03982 .999984         
 0   2453931.04052 .999953         
 0   2453931.04121 1.000075        
 0   2453931.07659 1.000013        
 0   2453931.07729 1.000072        
 0   2453931.07798 .999956         
 0   2453931.07868 .999954         
 0   2453931.07937 .999937         
 0   2453931.08007 1.000164        
 0   2453931.08076 1.000045        
 0   2453931.08146 .999950         
 0   2453931.08215 .999862         
 0   2453931.08284 .999918         
 0   2453931.08354 .999778         
 0   2453931.08423 .999452         
 0   2453931.08493 .998842         
 0   2453931.08562 .998183         
 0   2453931.08632 .997402         
 0   2453931.08701 .996602         
 0   2453931.08771 .995694         
 0   2453931.08840 .994749         
 0   2453931.08909 .993606         
 0   2453931.08979 .992576         
 0   2453931.09048 .991405         
 0   2453931.09118 .990446         
 0   2453931.09187 .989251         
 0   2453931.09257 .988282         
 0   2453931.09326 .987066         
 0   2453931.09396 .985922         
 0   2453931.09465 .984609         
 0   2453931.09534 .983638         
 0   2453931.09604 .982502         
 0   2453931.09673 .981591         
 0   2453931.09743 .980599         
 0   2453931.09812 .979740         
 0   2453931.09882 .979071         
 0   2453931.09951 .978445         
 0   2453931.10021 .977849         
 0   2453931.10090 .977795         
 0   2453931.10159 .977366         
 0   2453931.10229 .977239         
 0   2453931.10298 .976853         
 0   2453931.10368 .976689         
 0   2453931.10437 .976245         
 0   2453931.10507 .976073         
 0   2453931.10576 .975916         
 0   2453931.10646 .975759         
 0   2453931.10715 .975446         
 0   2453931.10784 .975514         
 0   2453931.14321 .980674         
 0   2453931.14391 .981477         
 0   2453931.14460 .982317         
 0   2453931.14530 .983305         
 0   2453931.14599 .984161         
 0   2453931.14669 .985325         
 0   2453931.14738 .986309         
 0   2453931.14808 .987544         
 0   2453931.14877 .988529         
 0   2453931.14946 .989886         
 0   2453931.15016 .990903         
 0   2453931.15085 .992167         
 0   2453931.15155 .993042         
 0   2453931.15224 .994226         
